dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,61.788942,134.358968,0.007785,0.778508,38.925380,1946.269003,6.281130
0.020000,61.784062,134.358977,0.012665,0.243985,-26.726105,-3282.574259,6.281532
0.020000,61.774303,134.358989,0.022424,0.487957,12.198592,1946.234867,6.282337
0.020000,61.787465,134.358998,0.035586,0.658114,8.507820,-184.538627,0.000359
0.020000,61.892496,134.359120,0.140618,5.251573,229.672985,11058.258264,0.001970
0.020000,62.023777,134.359511,0.271899,6.564047,65.623690,-8202.464765,0.003984
0.020000,62.181278,134.360329,0.429402,7.875152,65.555217,-3.423657,0.006403
0.020000,62.365013,134.361765,0.613142,9.187022,65.593525,1.915405,0.009228
0.020000,62.574934,134.364041,0.823076,10.496692,65.483505,-5.500996,0.012460
0.020000,62.811043,134.367413,1.059209,11.806658,65.498295,0.739525,0.016100
0.020000,63.073305,134.372167,1.321514,13.115240,65.429117,-3.458911,0.020149
0.020000,63.361703,134.378622,1.609984,14.423525,65.414233,-0.744178,0.024609
0.020000,63.676205,134.387129,1.924602,15.730861,65.366777,-2.372837,0.029480
0.020000,64.016780,134.398072,2.265352,17.037544,65.334159,-1.630901,0.034764
0.020000,64.383405,134.411868,2.632237,18.344201,65.332876,-0.064140,0.040461
0.020000,64.776037,134.428965,3.025241,19.650213,65.300603,-1.613628,0.046573
0.020000,65.194630,134.449843,3.444354,20.955659,65.272307,-1.414805,0.053099
0.020000,65.639137,134.475015,3.889573,22.260971,65.265588,-0.335980,0.060040
0.020000,66.109538,134.505028,4.360931,23.567861,65.344484,3.944825,0.067394
0.020000,66.605743,134.540457,4.858399,24.873421,65.278022,-3.323095,0.075162
0.020000,67.127733,134.581912,5.382032,26.181640,65.410921,6.644944,0.083342
0.020000,67.675430,134.630033,5.931839,27.490362,65.436105,1.259201,0.091930
0.020000,68.248786,134.685493,6.507872,28.801628,65.563319,6.360720,0.100924
0.020000,68.847728,134.748991,7.110170,30.114928,65.664978,5.082924,0.110321
0.020000,69.472188,134.821260,7.738797,31.431357,65.821441,7.823131,0.120113
0.020000,70.122093,134.903061,8.393831,32.751660,66.015180,9.686981,0.130296
0.020000,70.797376,134.995182,9.075368,34.076882,66.261069,12.294423,0.140862
