dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,70.587163,193.524402,0.007616,0.761630,38.081518,1904.075892,0.000030
0.020000,70.586828,193.524402,0.007952,0.016780,-37.242514,-3766.201568,0.000002
0.020000,70.644849,193.524400,0.065974,2.901091,144.215558,9072.903579,6.283132
0.020000,70.735247,193.524392,0.156372,4.519898,80.940323,-3163.761743,6.283050
0.020000,70.855789,193.524369,0.276913,6.027062,75.358219,-279.105225,6.282941
0.020000,71.006482,193.524322,0.427607,7.534682,75.381010,1.139585,6.282806
0.020000,71.187340,193.524239,0.608464,9.042872,75.409501,1.424505,6.282647
0.020000,71.398374,193.524106,0.819499,10.551746,75.443688,1.709376,6.282464
0.020000,71.639603,193.523907,1.060727,12.061418,75.483575,1.994342,6.282258
0.020000,71.911043,193.523624,1.332167,13.572001,75.529160,2.279236,6.282032
0.020000,72.212715,193.523239,1.633839,15.083610,75.580442,2.564134,6.281786
0.020000,72.544641,193.522731,1.965767,16.596358,75.637424,2.849102,6.281523
0.020000,72.906848,193.522078,2.327974,18.110360,75.700103,3.133941,6.281244
0.020000,73.299362,193.521258,2.720488,19.625730,75.768482,3.418932,6.280953
0.020000,73.722212,193.520250,3.143340,21.142581,75.842556,3.703730,6.280651
0.020000,74.175431,193.519031,3.596561,22.661028,75.922332,3.988773,6.280341
0.020000,74.659053,193.517578,4.080184,24.181184,76.007801,4.273477,6.280026
0.020000,75.173113,193.515872,4.594248,25.703163,76.098969,4.558361,6.279709
0.020000,75.717651,193.513892,5.138789,27.227080,76.195834,4.843264,6.279393
0.020000,76.292707,193.511620,5.713850,28.753048,76.298395,5.128044,6.279081
0.020000,76.898326,193.509041,6.319474,30.281181,76.406651,5.412793,6.278778
0.020000,77.534551,193.506143,6.955706,31.811593,76.520602,5.697550,6.278486
0.020000,78.201431,193.502915,7.622594,33.344398,76.640249,5.982384,6.278210
0.020000,78.899016,193.499353,8.320188,34.879709,76.765591,6.267093,6.277954
0.020000,79.627358,193.495456,9.048541,36.417642,76.896628,6.551846,6.277722
0.020000,80.386513,193.491228,9.807707,37.958309,77.033360,6.836585,6.277518
0.020000,81.176536,193.486681,10.597743,39.501825,77.175788,7.121438,6.277349
0.020000,81.997488,193.481833,11.418709,41.048303,77.323913,7.406248,6.277217
0.020000,82.849430,193.476707,12.270666,42.597858,77.477736,7.691113,6.277129
0.020000,83.732425,193.471338,13.153678,44.150603,77.637257,7.976075,6.277089
0.020000,84.646542,193.465768,14.067812,45.706653,77.802480,8.261134,6.277104
0.020000,85.591847,193.460049,15.013134,47.266121,77.973404,8.546220,6.277178
0.020000,86.568412,193.454246,15.989716,48.829121,78.150034,8.831477,6.277318
0.020000,87.576310,193.448434,16.997632,50.395769,78.332368,9.116731,6.277530
0.020000,88.615618,193.442699,18.036955,51.966177,78.520412,9.402163,6.277819
0.020000,89.686413,193.437146,19.107765,53.540460,78.714161,9.687466,6.278192
0.020000,90.779599,193.431932,20.200963,54.659940,55.974006,-1137.007759,6.278652
0.020000,91.870720,193.427272,21.292094,54.556513,-5.171368,-3057.268711,6.279190
0.020000,92.938269,193.423321,22.359650,53.377844,-58.933434,-2688.103303,6.279793
0.020000,93.976027,193.420136,23.397413,51.888127,-74.485846,-777.620601,6.280451
0.020000,94.983915,193.417731,24.405304,50.394559,-74.678432,-9.629279,6.281158
0.020000,95.961859,193.416110,25.383249,48.897252,-74.865339,-9.345372,6.281908
0.020000,96.909785,193.415268,26.331176,47.396321,-75.046563,-9.061177,6.282695
0.020000,97.827622,193.415189,27.249013,45.891879,-75.222103,-8.777013,0.000327
0.020000,98.715303,193.415850,28.136694,44.384039,-75.391959,-8.492795,0.001171
0.020000,99.572760,193.417220,28.994152,42.872917,-75.556127,-8.208386,0.002034
0.020000,100.399930,193.419263,29.821325,41.358625,-75.714604,-7.923861,0.002912
0.020000,101.196751,193.421934,30.618150,39.841277,-75.867384,-7.638999,0.003800
0.020000,101.963164,193.425186,31.384570,38.320988,-76.014475,-7.354553,0.004692
0.020000,102.699112,193.428966,32.120528,36.797870,-76.155854,-7.068940,0.005585
0.020000,103.404540,193.433217,32.825968,35.272040,-76.291532,-6.783907,0.006474
0.020000,104.079396,193.437882,33.500841,33.743610,-76.421514,-6.499074,0.007354
0.020000,104.723630,193.442898,34.145094,32.212694,-76.545763,-6.212458,0.008222
0.020000,105.337196,193.448202,34.758683,30.679408,-76.664321,-5.927901,0.009073
0.020000,105.920047,193.453732,35.341560,29.143865,-76.777160,-5.641945,0.009904
0.020000,106.472141,193.459421,35.893683,27.606179,-76.884273,-5.355651,0.010711
0.020000,106.993438,193.465208,36.415013,26.066466,-76.985687,-5.070735,0.011490
0.020000,107.483900,193.471027,36.905510,24.524838,-77.081373,-4.784270,0.012240
0.020000,107.943492,193.476816,37.365138,22.981411,-77.171354,-4.499042,0.012956
0.020000,108.372180,193.482516,37.793864,21.436299,-77.255607,-4.212679,0.013636
0.020000,108.769934,193.488068,38.191656,19.889615,-77.334193,-3.929266,0.014278
0.020000,109.136724,193.493415,38.558485,18.341475,-77.407009,-3.640832,0.014878
0.020000,109.472525,193.498505,38.894325,16.791992,-77.474153,-3.357168,0.015436
0.020000,109.777314,193.503288,39.199151,15.241280,-77.535593,-3.072024,0.015948
0.020000,110.051067,193.507717,39.472940,13.689453,-77.591332,-2.786947,0.016413
0.020000,110.293766,193.511752,39.715673,12.136626,-77.641369,-2.501870,0.016829
0.020000,110.505393,193.515352,39.927331,10.582912,-77.685703,-2.216690,0.017195
0.020000,110.685935,193.518485,40.107899,9.028424,-77.724372,-1.933449,0.017509
0.020000,110.835377,193.521121,40.257365,7.473278,-77.757323,-1.647550,0.017771
0.020000,110.953710,193.523237,40.375717,5.917586,-77.784617,-1.364696,0.017979
0.020000,111.040925,193.524812,40.462946,4.361462,-77.806195,-1.078885,0.018133
0.020000,111.097016,193.525832,40.519046,2.805019,-77.822125,-0.796503,0.018233
0.020000,111.123521,193.526316,40.545555,1.325464,-73.977761,192.218186,0.018280
0.020000,111.129762,193.526430,40.551797,0.312097,-50.668327,1165.471717,0.018291
0.020000,111.129762,193.526430,40.551797,0.000000,-15.604870,1753.172842,0.018291
