dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,70.586443,217.774402,0.007616,0.761630,38.081518,1904.075892,0.000030
0.020000,70.586778,217.774402,0.007952,0.016780,-37.242514,-3766.201568,0.000002
0.020000,70.646138,217.774400,0.067312,2.967984,147.560179,9240.134651,6.283132
0.020000,70.738531,217.774391,0.159705,4.619667,82.584144,-3248.801752,6.283050
0.020000,70.861712,217.774368,0.282885,6.159024,76.967852,-280.814601,6.282941
0.020000,71.015670,217.774320,0.436844,7.697925,76.945061,-1.139594,6.282806
0.020000,71.200395,217.774235,0.621569,9.236256,76.916571,-1.424486,6.282647
0.020000,71.415873,217.774099,0.837047,10.773904,76.882382,-1.709437,6.282464
0.020000,71.662088,217.773896,1.083262,12.310754,76.842496,-1.994299,6.282258
0.020000,71.939022,217.773608,1.360196,13.846692,76.796911,-2.279239,6.282032
0.020000,72.246654,217.773215,1.667828,15.381605,76.745628,-2.564178,6.281786
0.020000,72.584961,217.772697,2.006136,16.915378,76.688647,-2.849043,6.281523
0.020000,72.953918,217.772032,2.375094,18.447897,76.625966,-3.134033,6.281244
0.020000,73.353498,217.771198,2.774675,19.979049,76.557589,-3.418853,6.280953
0.020000,73.783672,217.770172,3.204849,21.508719,76.483512,-3.703849,6.280651
0.020000,74.244406,217.768932,3.665585,23.036794,76.403741,-3.988569,6.280341
0.020000,74.735667,217.767457,4.156848,24.563159,76.318269,-4.273601,6.280026
0.020000,75.257418,217.765725,4.678602,26.087701,76.227101,-4.558412,6.279709
0.020000,75.809620,217.763717,5.230808,27.610306,76.130237,-4.843162,6.279393
0.020000,76.392233,217.761416,5.813425,29.130859,76.027677,-5.127995,6.279081
0.020000,77.005212,217.758806,6.426410,30.649248,75.919421,-5.412820,6.278778
0.020000,77.648513,217.755875,7.069717,32.165357,75.805469,-5.697602,6.278486
0.020000,78.322086,217.752615,7.743299,33.679074,75.685823,-5.982282,6.278210
0.020000,79.025883,217.749021,8.447105,35.190283,75.560482,-6.267078,6.277954
0.020000,79.759850,217.745094,9.181082,36.698872,75.429445,-6.551835,6.277722
0.020000,80.523933,217.740839,9.945177,38.204726,75.292712,-6.836634,6.277518
0.020000,81.318074,217.736268,10.739331,39.707732,75.150285,-7.121372,6.277349
0.020000,82.142215,217.731401,11.563487,41.207775,75.002160,-7.406235,6.277217
0.020000,82.996295,217.726262,12.417582,42.704742,74.848337,-7.691154,6.277129
0.020000,83.880249,217.720887,13.301552,44.198518,74.688815,-7.976115,6.277089
0.020000,84.794011,217.715319,14.215332,45.688990,74.523592,-8.261142,6.277104
0.020000,85.737515,217.709612,15.158853,47.176044,74.352666,-8.546324,6.277178
0.020000,86.710689,217.703829,16.132044,48.659564,74.176035,-8.831523,6.277318
0.020000,87.713461,217.698046,17.134833,50.139438,73.993697,-9.116903,6.277530
0.020000,88.745757,217.692350,18.167144,51.615551,73.805652,-9.402246,6.277819
0.020000,89.807498,217.686844,19.228899,53.087789,73.611896,-9.687793,6.278192
0.020000,90.889532,217.681682,20.310946,54.102333,50.727210,-1144.234293,6.278652
0.020000,91.967603,217.677078,21.389027,53.904028,-9.915290,-3032.125041,6.279190
0.020000,93.020535,217.673182,22.441965,52.646938,-62.854452,-2646.958089,6.279793
0.020000,94.042333,217.670046,23.463768,51.090134,-77.840240,-749.289401,6.280451
0.020000,95.033073,217.667681,24.454512,49.537181,-77.647649,9.629576,6.281158
0.020000,95.992831,217.666091,25.414271,47.987966,-77.460742,9.345314,6.281908
0.020000,96.921679,217.665265,26.343119,46.442376,-77.279516,9.061309,6.282695
0.020000,97.819684,217.665188,27.241124,44.900296,-77.103973,8.777156,0.000327
0.020000,98.686916,217.665833,28.108357,43.361614,-76.934116,8.492859,0.001171
0.020000,99.523440,217.667170,28.944881,41.826215,-76.769946,8.208488,0.002034
