dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,61.739097,110.109019,0.007785,0.778508,38.925380,1946.269003,6.281130
0.020000,61.743977,110.109010,0.012665,0.243985,-26.726105,-3282.574259,6.281532
0.020000,61.753736,110.108998,0.022424,0.487957,12.198592,1946.234867,6.282337
0.020000,61.796178,110.108999,0.064866,2.122117,81.707967,3475.468748,0.000359
0.020000,61.940260,110.109167,0.208948,7.204072,254.097763,8619.489812,0.001970
0.020000,62.120388,110.109703,0.389077,9.006475,90.120149,-8198.880704,0.003984
0.020000,62.336550,110.110826,0.605242,10.808241,90.088300,-1.592490,0.006403
0.020000,62.588792,110.112797,0.857492,12.612484,90.212136,6.191827,0.009228
0.020000,62.877081,110.115923,1.145797,14.415277,90.139657,-3.623951,0.012460
0.020000,63.201451,110.120556,1.470200,16.220150,90.243641,5.199221,0.016100
0.020000,63.561888,110.127089,1.830697,18.024847,90.234875,-0.438319,0.020149
0.020000,63.958406,110.135964,2.227314,19.830854,90.300355,3.273985,0.024609
0.020000,64.390992,110.147666,2.660058,21.637202,90.317412,0.852858,0.029480
0.020000,64.859633,110.162724,3.128941,23.444152,90.347486,1.503717,0.034764
0.020000,65.364323,110.181716,3.633988,25.252336,90.409184,3.084891,0.040461
0.020000,65.905022,110.205260,4.175200,27.060579,90.412155,0.148564,0.046573
0.020000,66.481676,110.234022,4.752571,28.868568,90.399461,-0.634737,0.053099
0.020000,67.094222,110.268710,5.366098,30.676366,90.389887,-0.478673,0.060040
0.020000,67.742618,110.310079,6.015812,32.485683,90.465837,3.797477,0.067394
0.020000,68.426711,110.358923,6.701647,34.291735,90.302597,-8.161999,0.075162
0.020000,69.146427,110.416081,7.423629,36.099106,90.368577,3.298988,0.083342
0.020000,69.901593,110.482431,8.181704,37.903773,90.233332,-6.762219,0.091930
0.020000,70.692051,110.558890,8.975851,39.707344,90.178557,-2.738754,0.100924
0.020000,71.517579,110.646411,9.806006,41.507756,90.020604,-7.897671,0.110321
0.020000,72.377937,110.745980,10.672106,43.305003,89.862342,-7.913063,0.120113
0.020000,73.272845,110.858617,11.574075,45.098434,89.671567,-9.538777,0.130296
0.020000,74.201992,110.985370,12.511828,46.887648,89.460709,-10.542873,0.140862
0.020000,75.165010,111.127307,13.485249,48.671069,89.171021,-14.484423,0.151801
0.020000,76.161486,111.285517,14.494207,50.447875,88.840287,-16.536680,0.163103
0.020000,77.190978,111.461107,15.538566,52.217941,88.503323,-16.848193,0.174757
0.020000,78.252979,111.655190,16.618155,53.979486,88.077230,-21.304690,0.186747
0.020000,79.346927,111.868880,17.732779,55.731197,87.585583,-24.582356,0.199060
0.020000,80.472237,112.103296,18.882246,57.473352,87.107743,-23.891956,0.211677
0.020000,81.628230,112.359537,20.066297,59.202549,86.459860,-32.394150,0.224578
0.020000,82.814221,112.638694,21.284700,60.920151,85.880081,-28.988989,0.237744
0.020000,84.029445,112.941830,22.537161,62.623057,85.145316,-36.738236,0.251152
0.020000,85.273101,113.269975,23.823381,64.310954,84.394815,-37.525037,0.264775
0.020000,86.544357,113.624127,25.143046,65.983263,83.615459,-38.967799,0.278588
0.020000,87.842314,114.005229,26.495795,67.637465,82.710097,-45.268106,0.292561
0.020000,89.166061,114.414178,27.881272,69.273829,81.818214,-44.594150,0.306666
0.020000,90.514652,114.851808,29.299093,70.891052,80.861129,-47.854233,0.320870
0.020000,91.887111,115.318885,30.748854,72.488060,79.850418,-50.535593,0.335139
0.020000,93.282449,115.816104,32.230135,74.064050,78.799483,-52.546722,0.349441
0.020000,94.699675,116.344083,33.742514,75.618942,77.744637,-52.742323,0.363738
0.020000,96.137785,116.903354,35.285545,77.151579,76.631814,-55.641137,0.377996
0.020000,97.595790,117.494368,36.858783,78.661888,75.515479,-55.816738,0.392176
0.020000,99.072716,118.117483,38.461775,80.149573,74.384243,-56.561814,0.406242
0.020000,100.567610,118.772967,40.094063,81.614445,73.243584,-57.032921,0.420156
0.020000,102.079553,119.460995,41.755193,83.056496,72.102581,-57.050151,0.433881
0.020000,103.607664,120.181649,43.444710,84.475851,70.967739,-56.742116,0.447378
0.020000,105.151113,120.934918,45.162164,85.872702,69.842545,-56.259703,0.460611
0.020000,106.709122,121.720699,46.907113,87.247409,68.735324,-55.361046,0.473544
0.020000,108.280971,122.538794,48.679114,88.600067,67.632921,-55.120176,0.486139
0.020000,109.866013,123.388922,50.477746,89.931578,66.575554,-52.868336,0.498362
0.020000,111.463668,124.270707,52.302587,91.242088,65.525511,-52.502166,0.510179
0.020000,113.073432,125.183692,54.153230,92.532160,64.503566,-51.097215,0.521555
0.020000,114.694881,126.127333,56.029278,93.802398,63.511914,-49.582612,0.532458
0.020000,116.327673,127.101005,57.930343,95.053207,62.540446,-48.573393,0.542856
0.020000,117.971547,128.104001,59.856044,96.285053,61.592334,-47.405607,0.552718
0.020000,119.626329,129.135535,61.806009,97.498265,60.660570,-46.588217,0.562012
0.020000,121.291932,130.194742,63.779876,98.693369,59.755229,-45.267020,0.570709
0.020000,122.968353,131.280677,65.777285,99.870436,58.853354,-45.093764,0.578780
0.020000,124.655672,132.392315,67.797875,101.029507,57.953550,-44.990213,0.586194
0.020000,126.354061,133.528553,69.841295,102.170968,57.073018,-44.026597,0.592923
0.020000,128.063767,134.688202,71.907180,103.294255,56.164372,-45.432292,0.598936
0.020000,129.785124,135.869989,73.995166,104.399339,55.254184,-45.509376,0.604203
0.020000,131.518545,137.072549,76.104882,105.485778,54.321971,-46.610696,0.608694
0.020000,133.264520,138.294424,78.235940,106.552910,53.356575,-48.269802,0.612378
0.020000,135.023618,139.534058,80.387943,107.600162,52.362590,-49.699206,0.615220
0.020000,136.796475,140.789785,82.560470,108.626343,51.309082,-52.675400,0.617187
0.020000,138.577438,142.055300,84.745271,109.240055,30.685565,-1031.175872,0.618239
0.020000,140.351657,143.317583,86.922703,108.871587,-18.423393,-2455.447897,0.618353
0.020000,142.104617,144.563809,89.073505,107.540087,-66.574970,-2407.578848,0.617535
0.020000,143.828108,145.785789,91.186242,105.636840,-95.162361,-1429.369564,0.615814
0.020000,145.520217,146.980049,93.257350,103.555429,-104.070533,-445.408581,0.613228
